Name;Position;Team;Salary;Number;Age;Weight;Height;College
Sasha Vujacic;SG;New York Knicks;947276.0;18.0;32.0;195.0;6-7;
Derrick Williams;PF;New York Knicks;4000000.0;23.0;25.0;240.0;6-8;Arizona
Tony Wroten;SG;New York Knicks;167406.0;5.0;23.0;205.0;6-6;Washington
Elton Brand;PF;Philadelphia 76ers;;42.0;37.0;254.0;6-9;Duke
Isaiah Canaan;PG;Philadelphia 76ers;947276.0;0.0;25.0;201.0;6-0;Murray State
Robert Covington;SF;Philadelphia 76ers;1000000.0;33.0;25.0;215.0;6-9;Tennessee State
Joel Embiid;C;Philadelphia 76ers;4626960.0;21.0;22.0;250.0;7-0;Kansas
Jerami Grant;SF;Philadelphia 76ers;845059.0;39.0;22.0;210.0;6-8;Syracuse
Richaun Holmes;PF;Philadelphia 76ers;1074169.0;22.0;22.0;245.0;6-10;Bowling Green
Carl Landry;PF;Philadelphia 76ers;6500000.0;7.0;32.0;248.0;6-9;Purdue
Kendall Marshall;PG;Philadelphia 76ers;2144772.0;5.0;24.0;200.0;6-4;North Carolina
T.J. McConnell;PG;Philadelphia 76ers;525093.0;12.0;24.0;200.0;6-2;Arizona
Nerlens Noel;PF;Philadelphia 76ers;3457800.0;4.0;22.0;228.0;6-11;Kentucky
Jahlil Okafor;C;Philadelphia 76ers;4582680.0;8.0;20.0;275.0;6-11;Duke
Ish Smith;PG;Philadelphia 76ers;947276.0;1.0;27.0;175.0;6-0;Wake Forest
Nik Stauskas;SG;Philadelphia 76ers;2869440.0;11.0;22.0;205.0;6-6;Michigan
Hollis Thompson;SG;Philadelphia 76ers;947276.0;31.0;25.0;206.0;6-8;Georgetown
Christian Wood;PF;Philadelphia 76ers;525093.0;35.0;20.0;220.0;6-11;UNLV
Bismack Biyombo;C;Toronto Raptors;2814000.0;8.0;23.0;245.0;6-9;
Bruno Caboclo;SF;Toronto Raptors;1524000.0;20.0;20.0;205.0;6-9;
DeMarre Carroll;SF;Toronto Raptors;13600000.0;5.0;29.0;212.0;6-8;Missouri
DeMar DeRozan;SG;Toronto Raptors;10050000.0;10.0;26.0;220.0;6-7;USC
James Johnson;PF;Toronto Raptors;2500000.0;3.0;29.0;250.0;6-9;Wake Forest
Cory Joseph;PG;Toronto Raptors;7000000.0;6.0;24.0;190.0;6-3;Texas
Kyle Lowry;PG;Toronto Raptors;12000000.0;7.0;30.0;205.0;6-0;Villanova
Lucas Nogueira;C;Toronto Raptors;1842000.0;92.0;23.0;220.0;7-0;
Patrick Patterson;PF;Toronto Raptors;6268675.0;54.0;27.0;235.0;6-9;Kentucky
Norman Powell;SG;Toronto Raptors;650000.0;24.0;23.0;215.0;6-4;UCLA
Terrence Ross;SF;Toronto Raptors;3553917.0;31.0;25.0;195.0;6-7;Washington
Luis Scola;PF;Toronto Raptors;2900000.0;4.0;36.0;240.0;6-9;
Jason Thompson;PF;Toronto Raptors;245177.0;1.0;29.0;250.0;6-11;Rider
Jonas Valanciunas;C;Toronto Raptors;4660482.0;17.0;24.0;255.0;7-0;
Delon Wright;PG;Toronto Raptors;1509360.0;55.0;24.0;190.0;6-5;Utah
Leandro Barbosa;SG;Golden State Warriors;2500000.0;19.0;33.0;194.0;6-3;
Harrison Barnes;SF;Golden State Warriors;3873398.0;40.0;24.0;225.0;6-8;North Carolina
Andrew Bogut;C;Golden State Warriors;13800000.0;12.0;31.0;260.0;7-0;Utah
Ian Clark;SG;Golden State Warriors;947276.0;21.0;25.0;175.0;6-3;Belmont
Stephen Curry;PG;Golden State Warriors;11370786.0;30.0;28.0;190.0;6-3;Davidson
Festus Ezeli;C;Golden State Warriors;2008748.0;31.0;26.0;265.0;6-11;Vanderbilt
Draymond Green;PF;Golden State Warriors;14260870.0;23.0;26.0;230.0;6-7;Michigan State
Andre Iguodala;SF;Golden State Warriors;11710456.0;9.0;32.0;215.0;6-6;Arizona
Shaun Livingston;PG;Golden State Warriors;5543725.0;34.0;30.0;192.0;6-7;
Kevon Looney;SF;Golden State Warriors;1131960.0;36.0;20.0;220.0;6-9;UCLA
James Michael McAdoo;SF;Golden State Warriors;845059.0;20.0;23.0;240.0;6-9;North Carolina
Brandon Rush;SF;Golden State Warriors;1270964.0;4.0;30.0;220.0;6-6;Kansas
Marreese Speights;C;Golden State Warriors;3815000.0;5.0;28.0;255.0;6-10;Florida
Klay Thompson;SG;Golden State Warriors;15501000.0;11.0;26.0;215.0;6-7;Washington State
Anderson Varejao;PF;Golden State Warriors;289755.0;18.0;33.0;273.0;6-11;
Cole Aldrich;C;Los Angeles Clippers;1100602.0;45.0;27.0;250.0;6-11;Kansas
Jeff Ayres;PF;Los Angeles Clippers;111444.0;19.0;29.0;250.0;6-9;Arizona State
Jamal Crawford;SG;Los Angeles Clippers;5675000.0;11.0;36.0;195.0;6-5;Michigan
Branden Dawson;SF;Los Angeles Clippers;525093.0;22.0;23.0;225.0;6-6;Michigan State
Jeff Green;SF;Los Angeles Clippers;9650000.0;8.0;29.0;235.0;6-9;Georgetown
Blake Griffin;PF;Los Angeles Clippers;18907726.0;32.0;27.0;251.0;6-10;Oklahoma
Wesley Johnson;SF;Los Angeles Clippers;1100602.0;33.0;28.0;215.0;6-7;Syracuse
DeAndre Jordan;C;Los Angeles Clippers;19689000.0;6.0;27.0;265.0;6-11;Texas A&M
Luc Richard Mbah a Moute;PF;Los Angeles Clippers;947276.0;12.0;29.0;230.0;6-8;UCLA
Chris Paul;PG;Los Angeles Clippers;21468695.0;3.0;31.0;175.0;6-0;Wake Forest
Paul Pierce;SF;Los Angeles Clippers;3376000.0;34.0;38.0;235.0;6-7;Kansas
Pablo Prigioni;PG;Los Angeles Clippers;947726.0;9.0;39.0;185.0;6-3;
JJ Redick;SG;Los Angeles Clippers;7085000.0;4.0;31.0;190.0;6-4;Duke
Austin Rivers;PG;Los Angeles Clippers;3110796.0;25.0;23.0;200.0;6-4;Duke
C.J. Wilcox;SG;Los Angeles Clippers;1159680.0;30.0;25.0;195.0;6-5;Washington
Brandon Bass;PF;Los Angeles Lakers;3000000.0;2.0;31.0;250.0;6-8;LSU
Tarik Black;C;Los Angeles Lakers;845059.0;28.0;24.0;250.0;6-9;Kansas
Anthony Brown;SF;Los Angeles Lakers;700000.0;3.0;23.0;210.0;6-7;Stanford
Kobe Bryant;SF;Los Angeles Lakers;25000000.0;24.0;37.0;212.0;6-6;
Jordan Clarkson;PG;Los Angeles Lakers;845059.0;6.0;24.0;194.0;6-5;Missouri
Roy Hibbert;C;Los Angeles Lakers;15592217.0;17.0;29.0;270.0;7-2;Georgetown
Marcelo Huertas;PG;Los Angeles Lakers;525093.0;9.0;33.0;200.0;6-3;
Ryan Kelly;PF;Los Angeles Lakers;1724250.0;4.0;25.0;230.0;6-11;Duke
Larry Nance Jr.;PF;Los Angeles Lakers;1155600.0;7.0;23.0;230.0;6-9;Wyoming
Julius Randle;PF;Los Angeles Lakers;3132240.0;30.0;21.0;250.0;6-9;Kentucky
D'Angelo Russell;PG;Los Angeles Lakers;5103120.0;1.0;20.0;195.0;6-5;Ohio State
Robert Sacre;C;Los Angeles Lakers;981348.0;50.0;27.0;270.0;7-0;Gonzaga
Louis Williams;SG;Los Angeles Lakers;7000000.0;23.0;29.0;175.0;6-1;
Metta World Peace;SF;Los Angeles Lakers;947276.0;37.0;36.0;260.0;6-7;St. John's
Nick Young;SF;Los Angeles Lakers;5219169.0;0.0;31.0;210.0;6-7;USC
Eric Bledsoe;PG;Phoenix Suns;13500000.0;2.0;26.0;190.0;6-1;Kentucky
Devin Booker;SG;Phoenix Suns;2127840.0;1.0;19.0;206.0;6-6;Kentucky
Chase Budinger;SF;Phoenix Suns;206192.0;10.0;28.0;209.0;6-7;Arizona
Tyson Chandler;C;Phoenix Suns;13000000.0;4.0;33.0;240.0;7-1;
Archie Goodwin;SG;Phoenix Suns;1160160.0;20.0;21.0;200.0;6-5;Kentucky
John Jenkins;SG;Phoenix Suns;981348.0;23.0;25.0;215.0;6-4;Vanderbilt
Brandon Knight;PG;Phoenix Suns;13500000.0;3.0;24.0;189.0;6-3;Kentucky
Alex Len;C;Phoenix Suns;3807120.0;21.0;22.0;260.0;7-1;Maryland
Jon Leuer;PF;Phoenix Suns;1035000.0;30.0;27.0;228.0;6-10;Wisconsin
Phil Pressey;PG;Phoenix Suns;55722.0;25.0;25.0;175.0;5-11;Missouri
Ronnie Price;PG;Phoenix Suns;947276.0;14.0;32.0;190.0;6-2;Utah Valley
Mirza Teletovic;PF;Phoenix Suns;5500000.0;35.0;30.0;242.0;6-9;
P.J. Tucker;SF;Phoenix Suns;5500000.0;17.0;31.0;245.0;6-6;Texas
T.J. Warren;SF;Phoenix Suns;2041080.0;12.0;22.0;230.0;6-8;North Carolina State
Alan Williams;C;Phoenix Suns;83397.0;15.0;23.0;260.0;6-8;UC Santa Barbara
Quincy Acy;SF;Sacramento Kings;981348.0;13.0;25.0;240.0;6-7;Baylor
James Anderson;SG;Sacramento Kings;1015421.0;5.0;27.0;213.0;6-6;Oklahoma State
Marco Belinelli;SG;Sacramento Kings;6060606.0;3.0;30.0;210.0;6-5;
Caron Butler;SF;Sacramento Kings;1449187.0;31.0;36.0;228.0;6-7;Connecticut
Omri Casspi;SF;Sacramento Kings;2836186.0;18.0;27.0;225.0;6-9;
Willie Cauley-Stein;C;Sacramento Kings;3398280.0;0.0;22.0;240.0;7-0;Kentucky
Darren Collison;PG;Sacramento Kings;5013559.0;7.0;28.0;175.0;6-0;UCLA
DeMarcus Cousins;C;Sacramento Kings;15851950.0;15.0;25.0;270.0;6-11;Kentucky
Seth Curry;SG;Sacramento Kings;947276.0;30.0;25.0;185.0;6-2;Duke
Duje Dukan;PF;Sacramento Kings;525093.0;26.0;24.0;220.0;6-9;Wisconsin
Rudy Gay;SF;Sacramento Kings;12403101.0;8.0;29.0;230.0;6-8;Connecticut
Kosta Koufos;C;Sacramento Kings;7700000.0;41.0;27.0;265.0;7-0;Ohio State
Ben McLemore;SG;Sacramento Kings;3156600.0;23.0;23.0;195.0;6-5;Kansas
Eric Moreland;PF;Sacramento Kings;845059.0;25.0;24.0;238.0;6-10;Oregon State
Rajon Rondo;PG;Sacramento Kings;9500000.0;9.0;30.0;186.0;6-1;Kentucky
Cameron Bairstow;PF;Chicago Bulls;845059.0;41.0;25.0;250.0;6-9;New Mexico
Aaron Brooks;PG;Chicago Bulls;2250000.0;0.0;31.0;161.0;6-0;Oregon
Jimmy Butler;SG;Chicago Bulls;16407500.0;21.0;26.0;220.0;6-7;Marquette
Mike Dunleavy;SG;Chicago Bulls;4500000.0;34.0;35.0;230.0;6-9;Duke
Cristiano Felicio;PF;Chicago Bulls;525093.0;6.0;23.0;275.0;6-10;
Pau Gasol;C;Chicago Bulls;7448760.0;16.0;35.0;250.0;7-0;
Taj Gibson;PF;Chicago Bulls;8500000.0;22.0;30.0;225.0;6-9;USC
Justin Holiday;SG;Chicago Bulls;947276.0;7.0;27.0;185.0;6-6;Washington
Doug McDermott;SF;Chicago Bulls;2380440.0;3.0;24.0;225.0;6-8;Creighton
Nikola Mirotic;PF;Chicago Bulls;5543725.0;44.0;25.0;220.0;6-10;
E'Twaun Moore;SG;Chicago Bulls;1015421.0;55.0;27.0;191.0;6-4;Purdue
Joakim Noah;C;Chicago Bulls;13400000.0;13.0;31.0;232.0;6-11;Florida
Bobby Portis;PF;Chicago Bulls;1391160.0;5.0;21.0;230.0;6-11;Arkansas
Derrick Rose;PG;Chicago Bulls;20093064.0;1.0;27.0;190.0;6-3;Memphis
Tony Snell;SF;Chicago Bulls;1535880.0;20.0;24.0;200.0;6-7;New Mexico
Matthew Dellavedova;PG;Cleveland Cavaliers;1147276.0;8.0;25.0;198.0;6-4;Saint Mary's
Channing Frye;PF;Cleveland Cavaliers;8193029.0;9.0;33.0;255.0;6-11;Arizona
Kyrie Irving;PG;Cleveland Cavaliers;16407501.0;2.0;24.0;193.0;6-3;Duke
LeBron James;SF;Cleveland Cavaliers;22970500.0;23.0;31.0;250.0;6-8;
Richard Jefferson;SF;Cleveland Cavaliers;947276.0;24.0;35.0;233.0;6-7;Arizona
Dahntay Jones;SG;Cleveland Cavaliers;;30.0;35.0;225.0;6-6;Duke
James Jones;SG;Cleveland Cavaliers;947276.0;1.0;35.0;218.0;6-8;Miami (FL)
Sasha Kaun;C;Cleveland Cavaliers;1276000.0;14.0;31.0;260.0;6-11;Kansas
Kevin Love;PF;Cleveland Cavaliers;19689000.0;0.0;27.0;251.0;6-10;UCLA
Jordan McRae;SG;Cleveland Cavaliers;111196.0;12.0;25.0;179.0;6-5;Tennessee
Timofey Mozgov;C;Cleveland Cavaliers;4950000.0;20.0;29.0;275.0;7-1;
Iman Shumpert;SG;Cleveland Cavaliers;8988765.0;4.0;25.0;220.0;6-5;Georgia Tech
J.R. Smith;SG;Cleveland Cavaliers;5000000.0;5.0;30.0;225.0;6-6;
Tristan Thompson;C;Cleveland Cavaliers;14260870.0;13.0;25.0;238.0;6-9;Texas
Mo Williams;PG;Cleveland Cavaliers;2100000.0;52.0;33.0;198.0;6-1;Alabama
Joel Anthony;C;Detroit Pistons;2500000.0;50.0;33.0;245.0;6-9;UNLV
Aron Baynes;C;Detroit Pistons;6500000.0;12.0;29.0;260.0;6-10;Washington State
Steve Blake;PG;Detroit Pistons;2170465.0;22.0;36.0;172.0;6-3;Maryland
Lorenzo Brown;PG;Detroit Pistons;111444.0;17.0;25.0;189.0;6-5;North Carolina State
Reggie Bullock;SF;Detroit Pistons;1252440.0;25.0;25.0;205.0;6-7;North Carolina
Kentavious Caldwell-Pope;SG;Detroit Pistons;2891760.0;5.0;23.0;205.0;6-5;Georgia
Spencer Dinwiddie;PG;Detroit Pistons;845059.0;8.0;23.0;200.0;6-6;Colorado
Andre Drummond;C;Detroit Pistons;3272091.0;0.0;22.0;279.0;6-11;Connecticut
Tobias Harris;SF;Detroit Pistons;16000000.0;34.0;23.0;235.0;6-9;Tennessee
Darrun Hilliard;SF;Detroit Pistons;600000.0;6.0;23.0;205.0;6-6;Villanova
Reggie Jackson;PG;Detroit Pistons;13913044.0;1.0;26.0;208.0;6-3;Boston College
Stanley Johnson;SF;Detroit Pistons;2841960.0;3.0;20.0;245.0;6-7;Arizona
Jodie Meeks;SG;Detroit Pistons;6270000.0;20.0;28.0;210.0;6-4;Kentucky
Marcus Morris;PF;Detroit Pistons;5000000.0;13.0;26.0;235.0;6-9;Kansas
Anthony Tolliver;PF;Detroit Pistons;3000000.0;43.0;31.0;240.0;6-8;Creighton
Lavoy Allen;PF;Indiana Pacers;4050000.0;5.0;27.0;255.0;6-9;Temple
Rakeem Christmas;PF;Indiana Pacers;1007026.0;25.0;24.0;250.0;6-9;Syracuse
Monta Ellis;SG;Indiana Pacers;10300000.0;11.0;30.0;185.0;6-3;
Paul George;SF;Indiana Pacers;17120106.0;13.0;26.0;220.0;6-9;Fresno State
George Hill;PG;Indiana Pacers;8000000.0;3.0;30.0;188.0;6-3;IUPUI
Jordan Hill;C;Indiana Pacers;4000000.0;27.0;28.0;235.0;6-10;Arizona
Solomon Hill;SF;Indiana Pacers;1358880.0;44.0;25.0;225.0;6-7;Arizona
Ty Lawson;PG;Indiana Pacers;211744.0;10.0;28.0;195.0;5-11;North Carolina
Ian Mahinmi;C;Indiana Pacers;4000000.0;28.0;29.0;250.0;6-11;
C.J. Miles;SF;Indiana Pacers;4394225.0;0.0;29.0;231.0;6-6;
Glenn Robinson III;SG;Indiana Pacers;1100000.0;40.0;22.0;222.0;6-7;Michigan
Rodney Stuckey;PG;Indiana Pacers;7000000.0;2.0;30.0;205.0;6-5;Eastern Washington
Myles Turner;PF;Indiana Pacers;2357760.0;33.0;20.0;243.0;6-11;Texas
Shayne Whittington;PF;Indiana Pacers;845059.0;42.0;25.0;250.0;6-11;Western Michigan
Joe Young;PG;Indiana Pacers;1007026.0;1.0;23.0;180.0;6-2;Oregon
Giannis Antetokounmpo;SF;Milwaukee Bucks;1953960.0;34.0;21.0;222.0;6-11;
Jerryd Bayless;PG;Milwaukee Bucks;3000000.0;19.0;27.0;200.0;6-3;Arizona
Michael Carter-Williams;PG;Milwaukee Bucks;2399040.0;5.0;24.0;190.0;6-6;Syracuse
Jared Cunningham;SG;Milwaukee Bucks;947276.0;9.0;25.0;195.0;6-4;Oregon State
Tyler Ennis;PG;Milwaukee Bucks;1662360.0;11.0;21.0;194.0;6-3;Syracuse
John Henson;PF;Milwaukee Bucks;2943221.0;31.0;25.0;229.0;6-11;North Carolina
Damien Inglis;SF;Milwaukee Bucks;855000.0;17.0;21.0;246.0;6-8;
O.J. Mayo;SG;Milwaukee Bucks;8000000.0;3.0;28.0;210.0;6-5;USC
Khris Middleton;SG;Milwaukee Bucks;14700000.0;22.0;24.0;234.0;6-8;Texas A&M
Greg Monroe;C;Milwaukee Bucks;16407500.0;15.0;26.0;265.0;6-11;Georgetown
Steve Novak;SF;Milwaukee Bucks;295327.0;6.0;32.0;225.0;6-10;Marquette
Johnny O'Bryant III;PF;Milwaukee Bucks;845059.0;77.0;23.0;257.0;6-9;LSU
Jabari Parker;PF;Milwaukee Bucks;5152440.0;12.0;21.0;250.0;6-8;Duke
Miles Plumlee;C;Milwaukee Bucks;2109294.0;18.0;27.0;249.0;6-11;Duke
Greivis Vasquez;PG;Milwaukee Bucks;6600000.0;21.0;29.0;217.0;6-6;Maryland
Rashad Vaughn;SG;Milwaukee Bucks;1733040.0;20.0;19.0;202.0;6-6;UNLV
Justin Anderson;SG;Dallas Mavericks;1449000.0;1.0;22.0;228.0;6-6;Virginia
J.J. Barea;PG;Dallas Mavericks;4290000.0;5.0;31.0;185.0;6-0;Northeastern
Jeremy Evans;SF;Dallas Mavericks;1100602.0;21.0;28.0;200.0;6-9;Western Kentucky
Raymond Felton;PG;Dallas Mavericks;3950313.0;2.0;31.0;205.0;6-1;North Carolina
Devin Harris;PG;Dallas Mavericks;4053446.0;34.0;33.0;185.0;6-3;Wisconsin
David Lee;PF;Dallas Mavericks;2085671.0;42.0;33.0;245.0;6-9;Florida
Wesley Matthews;SG;Dallas Mavericks;16407500.0;23.0;29.0;220.0;6-5;Marquette
JaVale McGee;C;Dallas Mavericks;1270964.0;11.0;28.0;270.0;7-0;Nevada
Salah Mejri;C;Dallas Mavericks;525093.0;50.0;29.0;245.0;7-2;
Dirk Nowitzki;PF;Dallas Mavericks;8333334.0;41.0;37.0;245.0;7-0;
Zaza Pachulia;C;Dallas Mavericks;5200000.0;27.0;32.0;275.0;6-11;
Chandler Parsons;SF;Dallas Mavericks;15361500.0;25.0;27.0;230.0;6-10;Florida
Dwight Powell;PF;Dallas Mavericks;845059.0;7.0;24.0;240.0;6-11;Stanford
Charlie Villanueva;PF;Dallas Mavericks;947276.0;3.0;31.0;232.0;6-11;Connecticut
Deron Williams;PG;Dallas Mavericks;5378974.0;8.0;31.0;200.0;6-3;Illinois
Trevor Ariza;SF;Houston Rockets;8193030.0;1.0;30.0;215.0;6-8;UCLA
Michael Beasley;SF;Houston Rockets;306527.0;8.0;27.0;235.0;6-10;Kansas State
Patrick Beverley;PG;Houston Rockets;6486486.0;2.0;27.0;185.0;6-1;Arkansas
Corey Brewer;SG;Houston Rockets;8229375.0;33.0;30.0;186.0;6-9;Florida
Clint Capela;PF;Houston Rockets;1242720.0;15.0;22.0;240.0;6-10;
Sam Dekker;SF;Houston Rockets;1646400.0;7.0;22.0;230.0;6-9;Wisconsin
Andrew Goudelock;PG;Houston Rockets;200600.0;0.0;27.0;200.0;6-3;Charleston
James Harden;SG;Houston Rockets;15756438.0;13.0;26.0;220.0;6-5;Arizona State
Montrezl Harrell;PF;Houston Rockets;1000000.0;35.0;22.0;240.0;6-8;Louisville
Dwight Howard;C;Houston Rockets;22359364.0;12.0;30.0;265.0;6-11;
Terrence Jones;PF;Houston Rockets;2489530.0;6.0;24.0;252.0;6-9;Kentucky
K.J. McDaniels;SG;Houston Rockets;3189794.0;32.0;23.0;205.0;6-6;Clemson
Donatas Motiejunas;PF;Houston Rockets;2288205.0;20.0;25.0;222.0;7-0;
Josh Smith;C;Houston Rockets;947276.0;5.0;30.0;225.0;6-9;
Jason Terry;SG;Houston Rockets;947276.0;31.0;38.0;185.0;6-2;Arizona
Jordan Adams;SG;Memphis Grizzlies;1404600.0;3.0;21.0;209.0;6-5;UCLA
Tony Allen;SG;Memphis Grizzlies;5158539.0;9.0;34.0;213.0;6-4;Oklahoma State
Chris Andersen;PF;Memphis Grizzlies;5000000.0;7.0;37.0;245.0;6-10;Blinn College
Matt Barnes;SF;Memphis Grizzlies;3542500.0;22.0;36.0;226.0;6-7;UCLA
Vince Carter;SG;Memphis Grizzlies;4088019.0;15.0;39.0;220.0;6-6;North Carolina
Mike Conley;PG;Memphis Grizzlies;9588426.0;11.0;28.0;175.0;6-1;Ohio State
Bryce Cotton;PG;Memphis Grizzlies;700902.0;8.0;23.0;165.0;6-1;Providence
Jordan Farmar;PG;Memphis Grizzlies;;4.0;29.0;180.0;6-2;UCLA
Marc Gasol;C;Memphis Grizzlies;19688000.0;33.0;31.0;255.0;7-1;
JaMychal Green;PF;Memphis Grizzlies;845059.0;0.0;25.0;227.0;6-9;Alabama
P.J. Hairston;SF;Memphis Grizzlies;1201440.0;19.0;23.0;230.0;6-6;North Carolina
Jarell Martin;PF;Memphis Grizzlies;1230840.0;10.0;22.0;239.0;6-10;LSU
Ray McCallum;PG;Memphis Grizzlies;;5.0;24.0;190.0;6-3;Detroit
Xavier Munford;PG;Memphis Grizzlies;;14.0;24.0;180.0;6-3;Rhode Island
Zach Randolph;PF;Memphis Grizzlies;9638555.0;50.0;34.0;260.0;6-9;Michigan State
Lance Stephenson;SF;Memphis Grizzlies;9000000.0;1.0;25.0;230.0;6-5;Cincinnati
Alex Stepheson;PF;Memphis Grizzlies;;35.0;28.0;270.0;6-10;USC
Brandan Wright;PF;Memphis Grizzlies;5464000.0;34.0;28.0;210.0;6-10;North Carolina
Alexis Ajinca;C;New Orleans Pelicans;4389607.0;42.0;28.0;248.0;7-2;
Ryan Anderson;PF;New Orleans Pelicans;8500000.0;33.0;28.0;240.0;6-10;California
Omer Asik;C;New Orleans Pelicans;9213483.0;3.0;29.0;255.0;7-0;
Luke Babbitt;SF;New Orleans Pelicans;1100602.0;8.0;26.0;225.0;6-9;Nevada
Norris Cole;PG;New Orleans Pelicans;3036927.0;30.0;27.0;175.0;6-2;Cleveland State
Dante Cunningham;PF;New Orleans Pelicans;2850000.0;44.0;29.0;230.0;6-8;Villanova
Anthony Davis;PF;New Orleans Pelicans;7070730.0;23.0;23.0;253.0;6-10;Kentucky
Bryce Dejean-Jones;SG;New Orleans Pelicans;169883.0;31.0;23.0;203.0;6-6;Iowa State
Toney Douglas;PG;New Orleans Pelicans;1164858.0;16.0;30.0;195.0;6-2;Florida State
James Ennis;SF;New Orleans Pelicans;845059.0;4.0;25.0;210.0;6-7;Long Beach State
Tyreke Evans;SG;New Orleans Pelicans;10734586.0;1.0;26.0;220.0;6-6;Memphis
Tim Frazier;PG;New Orleans Pelicans;845059.0;2.0;25.0;170.0;6-1;Penn State
Alonzo Gee;SF;New Orleans Pelicans;1320000.0;15.0;29.0;225.0;6-6;Alabama
Eric Gordon;SG;New Orleans Pelicans;15514031.0;10.0;27.0;215.0;6-4;Indiana
Jordan Hamilton;SG;New Orleans Pelicans;1015421.0;25.0;25.0;220.0;6-7;Texas
Jrue Holiday;PG;New Orleans Pelicans;10595507.0;11.0;25.0;205.0;6-4;UCLA
Orlando Johnson;SG;New Orleans Pelicans;55722.0;0.0;27.0;220.0;6-5;UC Santa Barbara
Kendrick Perkins;C;New Orleans Pelicans;947276.0;5.0;31.0;270.0;6-10;
